---------------------#1: seed=510---------------------------
[39, array([ 0.00021847,  0.00011554]), 0.00070063452635382717, 0.004094414940792301]
[40, array([ 0.00021847,  0.00011554]), 0.00070063452635382717, 0.0033804060208217912]
[41, array([  6.66975131e-06,   1.48837435e-04]), 0.00042198938893678317, 0.0022979306896673711]
[42, array([  6.66975131e-06,   1.48837435e-04]), 0.00042198938893678317, 0.0016836703498703364]
[43, array([  6.66975131e-06,   1.48837435e-04]), 0.00042198938893678317, 0.001199410704232573]
[44, array([  1.43645359e-06,  -8.34765681e-05]), 0.00023632795420214237, 0.00097609425957072564]
[45, array([ -4.28364092e-05,  -5.83267813e-05]), 0.00020482401656396476, 0.0007792237138143143]
[46, array([ -5.72659185e-05,  -6.49425529e-09]), 0.00016205980280803445, 0.00061223210885961164]
[47, array([ -4.74434222e-05,   9.80106112e-06]), 0.00013708626272235236, 0.00043614508931044682]
[48, array([ -4.74434222e-05,   9.80106112e-06]), 0.00013708626272235236, 0.00034301151103770521]
[49, array([ -1.62538800e-05,  -2.70870922e-05]), 8.9375290461379819e-05, 0.00027233905610808408]
[50, array([ -1.00641550e-05,  -1.45694023e-05]), 5.009265431654697e-05, 0.00021198971214291261]
[51, array([ -1.00641550e-05,  -1.45694023e-05]), 5.009265431654697e-05, 0.00016590905523292677]
[52, array([ -1.00641550e-05,  -1.45694023e-05]), 5.009265431654697e-05, 0.00014409897898675083]
[53, array([ -9.53752400e-06,   8.28914887e-06]), 3.5744912530777384e-05, 0.00012091464157526488]
[54, array([ -1.09760255e-06,   1.02143004e-05]), 2.9059536168052347e-05, 0.00010139542132323598]
[55, array([ -3.15023311e-06,   2.86362784e-06]), 1.2041855658839751e-05, 7.9208485502579862e-05]
[56, array([ -3.15023311e-06,   2.86362784e-06]), 1.2041855658839751e-05, 6.3676542018686883e-05]
[57, array([ -7.97718881e-07,   3.80326634e-06]), 1.099174062035857e-05, 5.1499114974706828e-05]
[58, array([ -7.97718881e-07,   3.80326634e-06]), 1.099174062035857e-05, 4.5043789535892389e-05]
[59, array([ -1.68962794e-06,  -3.24963139e-06]), 1.0359873332976832e-05, 3.6864947702763831e-05]
[60, array([ -1.68962794e-06,  -3.24963139e-06]), 1.0359873332976832e-05, 2.7028196893841284e-05]
[61, array([  1.58554811e-06,   1.71818349e-07]), 4.5109296142875621e-06, 2.1527751320693511e-05]
---------------------#5: seed=988---------------------------
[1, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 17.567087946358303]
[2, array([-0.65845456,  0.98887617]), 4.5568923042412166, 15.788057211050353]
[3, array([-0.65845456,  0.98887617]), 4.5568923042412166, 14.45487397127965]
[4, array([ 0.74290057, -0.20022204]), 3.6396873771518767, 12.297376349607422]
[5, array([-0.07927322, -0.10068463]), 0.75533134729247609, 10.99372877246031]
[6, array([-0.07927322, -0.10068463]), 0.75533134729247609, 8.733407975013062]
[7, array([-0.07927322, -0.10068463]), 0.75533134729247609, 7.4793772614937879]
[8, array([-0.07927322, -0.10068463]), 0.75533134729247609, 5.9106992352963967]
[9, array([-0.07927322, -0.10068463]), 0.75533134729247609, 4.4171772285634381]
