---------------------#1: seed=510---------------------------
[42, array([ 0.0003342 , -0.00038044]), 0.0014390868966569492, 0.0037881077091577176]
[43, array([-0.00015058, -0.00011939]), 0.00054450873562261748, 0.0026391809981922698]
[44, array([-0.00015058, -0.00011939]), 0.00054450873562261748, 0.0020819773789860995]
[45, array([ -1.38830012e-04,   4.51488270e-05]), 0.00041348095060955714, 0.0015951420276420158]
[46, array([ -1.38830012e-04,   4.51488270e-05]), 0.00041348095060955714, 0.0012186382168814624]
[47, array([  2.63751083e-05,  -7.60735669e-05]), 0.00022790640028746978, 0.00095614214517860676]
[48, array([  2.63751083e-05,  -7.60735669e-05]), 0.00022790640028746978, 0.0007750214206418526]
[49, array([  2.63751083e-05,  -7.60735669e-05]), 0.00022790640028746978, 0.00060987497738027583]
[50, array([  3.69109238e-05,  -2.79646568e-05]), 0.00013103613402565273, 0.00047314313940622911]
[51, array([  3.69109238e-05,  -2.79646568e-05]), 0.00013103613402565273, 0.000366422503553121]
[52, array([  3.69109238e-05,  -2.79646568e-05]), 0.00013103613402565273, 0.00031420989658021982]
[53, array([  3.33157945e-05,  -1.83256797e-05]), 0.00010758468213056815, 0.00021206261397681557]
[54, array([ -2.81579679e-06,  -2.61017599e-05]), 7.427361987000225e-05, 0.00016661721529791506]
[55, array([ -3.96861744e-06,  -1.22882479e-05]), 3.6528510328981412e-05, 0.00012840979966197708]
[56, array([ -3.96861744e-06,  -1.22882479e-05]), 3.6528510328981412e-05, 8.9548991880317169e-05]
[57, array([ -5.30508324e-07,   2.47767394e-06]), 7.1669315784284038e-06, 6.2634555058860281e-05]
---------------------#3: seed=382---------------------------
[1, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 18.152123284561874]
[2, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 16.669066950606243]
[3, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 15.511880933186948]
[4, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 15.144796427724756]
[5, array([-1.09800496, -0.61975562]), 4.9405156430046802, 13.034936398317521]
[6, array([-1.09800496, -0.61975562]), 4.9405156430046802, 11.825774365107183]
[7, array([-0.17571725,  0.30312593]), 2.6220602763660428, 8.9987903894417443]
[8, array([-0.17571725,  0.30312593]), 2.6220602763660428, 7.5219813397870769]
[9, array([-0.17571725,  0.30312593]), 2.6220602763660428, 6.8549331332740397]
[10, array([-0.08625109, -0.34122128]), 2.5191444790835971, 5.5802968849801218]
[11, array([-0.08625109, -0.34122128]), 2.5191444790835971, 5.0937974620370756]
[12, array([-0.08625109, -0.34122128]), 2.5191444790835971, 4.4667107536064332]
[13, array([-0.17571725, -0.10343767]), 1.4221570902370364, 3.9172698705840232]
[14, array([-0.17571725, -0.10343767]), 1.4221570902370364, 3.4539290863440355]
[15, array([-0.01252747, -0.01320764]), 0.060292971991334543, 3.0571239446545588]
[16, array([-0.01252747, -0.01320764]), 0.060292971991334543, 2.7987862498605125]
[17, array([-0.01252747, -0.01320764]), 0.060292971991334543, 2.3531498494134078]
[18, array([-0.01252747, -0.01320764]), 0.060292971991334543, 1.8808897788118792]
[19, array([-0.01252747, -0.01320764]), 0.060292971991334543, 1.5285521344896811]
