[85, array([ -4.57153627e-07,   6.23804710e-06]), 1.7692219458798064e-05, 0.00010783723011167367]
[86, array([ -4.57153627e-07,   6.23804710e-06]), 1.7692219458798064e-05, 9.0966068433839808e-05]
[87, array([ -4.57153627e-07,   6.23804710e-06]), 1.7692219458798064e-05, 7.8644634462055052e-05]
[88, array([ -4.57153627e-07,   6.23804710e-06]), 1.7692219458798064e-05, 6.5578002765054327e-05]
[89, array([ -4.57153627e-07,   6.23804710e-06]), 1.7692219458798064e-05, 5.9152467071488249e-05]
[90, array([ -4.57153627e-07,   6.23804710e-06]), 1.7692219458798064e-05, 4.7106895572301966e-05]
[91, array([ -4.57153627e-07,   6.23804710e-06]), 1.7692219458798064e-05, 4.1151947119377751e-05]
[92, array([  1.20259248e-06,  -9.08317176e-07]), 4.2627063909783658e-06, 2.9728204852030871e-05]
#############################################################
[1, array([-1.22035831, -0.51010463]), 5.4642832265397416, 17.737362469345676]
[2, array([-1.22035831, -0.51010463]), 5.4642832265397416, 16.470311884400427]
[3, array([-1.22035831, -0.51010463]), 5.4642832265397416, 15.868282895620448]
[4, array([-1.22035831, -0.51010463]), 5.4642832265397416, 15.218716463900247]
[5, array([-1.22035831, -0.51010463]), 5.4642832265397416, 13.984198956022023]
[6, array([-1.22035831, -0.51010463]), 5.4642832265397416, 13.418094040166974]
[7, array([-1.22035831, -0.51010463]), 5.4642832265397416, 12.466787529640893]
[8, array([-2.00803187, -0.09535792]), 5.1774740177929139, 11.03935272688005]
[9, array([ 0.14261844,  0.39538232]), 2.9525690245825946, 9.0623044157369854]
[10, array([ 0.14261844,  0.39538232]), 2.9525690245825946, 7.8304555856704638]
[11, array([ 0.11388958, -0.93778641]), 2.9039125209659962, 6.9815452067854213]
[12, array([ 0.11388958, -0.93778641]), 2.9039125209659962, 6.3503494963498506]
[13, array([ 0.11388958, -0.93778641]), 2.9039125209659962, 5.7258157809736199]
[14, array([ 0.11388958, -0.93778641]), 2.9039125209659962, 5.6331650437927099]
[15, array([-0.05695012,  0.09020643]), 0.5822671990207593, 5.1432505646659958]
[16, array([-0.05695012,  0.09020643]), 0.5822671990207593, 4.4989068752593431]
[17, array([-0.05695012,  0.09020643]), 0.5822671990207593, 3.8120830967347183]
